id;language_id;language_name;repos;stars;subscribers;forks
1;1;Python;18531051;1948621;43582;355123
2;2;Java;17426645;841902;27037;245418
3;3;JavaScript;34043194;1406108;34051;325836
4;4;C++;5261771;977337;27140;264493
5;5;C#;5908410;482201;8836;65787
6;6;TypeScript;7663093;1675520;34515;285839
7;7;C;3294087;738584;21036;155861
8;8;Go;1745836;917596;18304;132189
9;9;PHP;5126204;373507;12214;93220
10;10;Swift;1385302;325125;7237;39786
11;11;SQL;183240;77614;3790;16275
12;12;Ruby;2901498;425037;10440;85316
13;13;Kotlin;1630444;367369;12268;73293
14;14;Dart;1377590;467962;8335;57026
15;15;Rust;765752;699228;5896;62150
