id;language_id;language_name;date;trend_value
1;1;Python;10.12.2023;870
2;1;Python;17.12.2023;850
3;1;Python;24.12.2023;690
4;1;Python;31.12.2023;420
5;1;Python;07.01.2024;720
6;1;Python;14.01.2024;820
7;1;Python;21.01.2024;900
8;1;Python;28.01.2024;950
9;1;Python;04.02.2024;990
10;1;Python;11.02.2024;970
11;1;Python;18.02.2024;910
12;1;Python;25.02.2024;1000
13;1;Python;03.03.2024;900
14;1;Python;10.03.2024;1000
15;1;Python;17.03.2024;920
16;1;Python;24.03.2024;980
17;1;Python;31.03.2024;930
18;1;Python;07.04.2024;910
19;1;Python;14.04.2024;950
20;1;Python;21.04.2024;900
21;1;Python;28.04.2024;760
22;1;Python;05.05.2024;790
23;1;Python;12.05.2024;870
24;1;Python;19.05.2024;830
25;1;Python;26.05.2024;790
26;1;Python;02.06.2024;850
27;1;Python;09.06.2024;720
28;1;Python;16.06.2024;700
29;1;Python;23.06.2024;710
30;1;Python;30.06.2024;690
31;1;Python;07.07.2024;690
32;1;Python;14.07.2024;680
33;1;Python;21.07.2024;670
34;1;Python;28.07.2024;690
35;1;Python;04.08.2024;620
36;1;Python;11.08.2024;650
37;1;Python;18.08.2024;640
38;1;Python;25.08.2024;670
39;1;Python;01.09.2024;760
40;1;Python;08.09.2024;780
41;1;Python;15.09.2024;830
42;1;Python;22.09.2024;830
43;1;Python;29.09.2024;870
44;1;Python;06.10.2024;840
45;1;Python;13.10.2024;880
46;1;Python;20.10.2024;920
47;1;Python;27.10.2024;870
48;1;Python;03.11.2024;810
49;1;Python;10.11.2024;860
50;1;Python;17.11.2024;910
51;1;Python;24.11.2024;880
52;1;Python;01.12.2024;900
53;1;Python;08.12.2024;910
54;2;Java;10.12.2023;260
55;2;Java;17.12.2023;270
56;2;Java;24.12.2023;260
57;2;Java;31.12.2023;180
58;2;Java;07.01.2024;260
59;2;Java;14.01.2024;290
60;2;Java;21.01.2024;320
61;2;Java;28.01.2024;330
62;2;Java;04.02.2024;350
63;2;Java;11.02.2024;330
64;2;Java;18.02.2024;310
65;2;Java;25.02.2024;330
66;2;Java;03.03.2024;300
67;2;Java;10.03.2024;320
68;2;Java;17.03.2024;300
69;2;Java;24.03.2024;360
70;2;Java;31.03.2024;310
71;2;Java;07.04.2024;310
72;2;Java;14.04.2024;320
73;2;Java;21.04.2024;310
74;2;Java;28.04.2024;250
75;2;Java;05.05.2024;270
76;2;Java;12.05.2024;290
77;2;Java;19.05.2024;320
78;2;Java;26.05.2024;300
79;2;Java;02.06.2024;310
80;2;Java;09.06.2024;290
81;2;Java;16.06.2024;300
82;2;Java;23.06.2024;300
83;2;Java;30.06.2024;280
84;2;Java;07.07.2024;300
85;2;Java;14.07.2024;310
86;2;Java;21.07.2024;310
87;2;Java;28.07.2024;290
88;2;Java;04.08.2024;290
89;2;Java;11.08.2024;290
