id;name;area_id;area_name;salary_from;salary_to;salary_currency;url;employer_id;employer_name;snippet_requirement;snippet_responsibility;schedule_id;schedule_name;experience_id;experience_name
42636573;Backend-разработчик Kotlin/Java (junior);11;Барнаул;60000;76000;RUR;https://api.hh.ru/vacancies/42636573?host=hh.ru;4166788;Биллинговый центр;Навыки работы с простыми <highlighttext>SQL</highlighttext>-запросами. Умение работать с системой контроля версий (git). Желание разрабатывать на <highlighttext>Kotlin</highlighttext>. Готовность работать в...;Профессиональная разработка бэкэнда корпоративных информационных систем и веб-сервисов на современном стеке технологий. Возможность обучения, профессионального развития и карьерного роста. ;flexible;Гибкий график;noExperience;Нет опыта
45163827;Системный администратор;1;Москва;;270000;RUR;https://api.hh.ru/vacancies/45163827?host=hh.ru;42090;ПОБЕДА, кондитерская фабрика;"Знания и практический опыт в области развертывания и обслуживания СУБД (Microsoft <highlighttext>SQL</highlighttext> Server 2014). Опыт администрирования баз на платформе """"1...";Развертывание и администрирование информационной системы торгово-производственной компании с большим числом территориально-распределенных офисов. Обеспечение работоспособности ключевых элементов сети по...;remote;Удаленная работа;between3And6;От 3 до 6 лет
68489073;Младший системный администратор;1;Москва;100000;111000;RUR;https://api.hh.ru/vacancies/68489073?host=hh.ru;22216;Никс;Требования: богатый жизненный опыт сисадминской работы с сетью минимум из 20 компьютеров сроком от 1 года.;Увлекательная работа по обслуживанию ИТ-инфраструктуры с элементами искусственного интеллекта, включая ежедневный мониторинг, техподдержку сотрудников, установку ПО, обслуживание оборудования, устранение...;fullDay;Полный день;between1And3;От 1 года до 3 лет
77298446;Программист C# + SQL;1;Москва;275000;375000;RUR;https://api.hh.ru/vacancies/77298446?host=hh.ru;22216;Никс;Знание принципов объектно-ориентированного программирования. Знание <highlighttext>C#</highlighttext> и библиотек .NET. Базовое владение <highlighttext>SQL</highlighttext>. Опыт работы с реляционными СУБД. ;Разработка CRM систем. Разработка ERP систем. Построение хранилищ данных. Реализация алгоритмов полнотекстового поиска. Разработка электронных словарей.;fullDay;Полный день;noExperience;Нет опыта
78367597;Junior IT специалист;69;Орел;52800;;RUR;https://api.hh.ru/vacancies/78367597?host=hh.ru;1320790;АБК;Хорошо знает русский <highlighttext>язык</highlighttext>. Умеет разбираться в работе ПО. Быстро осваивает большие объёмы информации. Умеет работать в режиме реальной многозадачности...;Описание логики в специальном редакторе скриптов. Написание правил сопоставления фраз абонента на <highlighttext>языке</highlighttext> регулярных выражений. Тестирование скрипта различными средствами с...;fullDay;Полный день;noExperience;Нет опыта
80127090;Web-программист (Junior);11;Барнаул;40000;50000;RUR;https://api.hh.ru/vacancies/80127090?host=hh.ru;2646380;Agile Digital Lab;Имеешь высшее профильное образование. Верстал. Работал с <highlighttext>PHP</highlighttext> в университете или на домашних проектах.;Разработка нового функционала существующей системы - и фронтенд и бэкенд. Обсуждение реализации функционала сервисов. Совсем немного верстки.;fullDay;Полный день;noExperience;Нет опыта
80736556;Разработчик Python;76;Ростов-на-Дону;30000;80000;RUR;https://api.hh.ru/vacancies/80736556?host=hh.ru;815055;Электронная медицина;Опыт проектирования, поддержки и разработки серверных компонентов на <highlighttext>Python</highlighttext>. Знание Microsoft <highlighttext>SQL</highlighttext> server и PostgreSql. Опыт работы с Git. ;Разработка бэкенд новых SaaS проектов на <highlighttext>Python</highlighttext>. Поддержка, устранение проблем в ранее разработанном ПО совместно с командой. Рефакторинг и оптимизация...;fullDay;Полный день;noExperience;Нет опыта
81332499;Junior+ Unity developer;4;Новосибирск;90000;150000;RUR;https://api.hh.ru/vacancies/81332499?host=hh.ru;5998412;InlyIT;Оконченное высшее образование. Отличное знание <highlighttext>языка</highlighttext> программирования <highlighttext>C#</highlighttext> и основных его библиотек. Отличное знание UnityEditor и работы движка Unity в...;Доработка уже существующих проектов и разработка новых с нуля. Работа с клиент-серверным взаимодействием. Работа с нейросетями разного уровня. ;fullDay;Полный день;noExperience;Нет опыта
82357745;Дистанционный менеджер по продажам услуг;2;Санкт-Петербург;150000;;RUR;https://api.hh.ru/vacancies/82357745?host=hh.ru;2863076;Skillbox;Имеешь успешный опыт в телефонных продажах от 1 года. Выкладываешься на 100% для достижения результата. Обладаешь грамотной речью. ;Работать с тёплой клиентской базой (без поиска!): звонить и продавать курсы клиентам, которые оставили заявку на покупку курсов. ;remote;Удаленная работа;between1And3;От 1 года до 3 лет
86380996;Программист-стажер 1С;68;Омск;50000;;RUR;https://api.hh.ru/vacancies/86380996?host=hh.ru;1453962;РС Консалт;Техническое или математическое образование (возможно неоконченное). Серьезное желание научиться/усовершенствоваться программированию на 1С. Знает, что такое БД в теории...;Соображает в математике. Был замечен в программировании на <highlighttext>Java</highlighttext>, <highlighttext>С++</highlighttext>, #NET, <highlighttext>Python</highlighttext> и т.п.;fullDay;Полный день;noExperience;Нет опыта
